sample_number, vin1_plus, vin1_minus, digital_code, digital_code(radix 10)
199, 3.500000, 1.91041, 101001101111, 1.589590, 2671
200, 3.500000, 1.91549, 101001101001, 1.584510, 2665
201, 3.500000, 1.92057, 101001100011, 1.579430, 2659
202, 3.500000, 1.92565, 101001011110, 1.574350, 2654
203, 3.500000, 1.93072, 101001011000, 1.569280, 2648
204, 3.500000, 1.9358, 101001010010, 1.564200, 2642
205, 3.500000, 1.94088, 101001001100, 1.559120, 2636
206, 3.500000, 1.94596, 101001000110, 1.554040, 2630
207, 3.500000, 1.95104, 101001000001, 1.548960, 2625
208, 3.500000, 1.95611, 101000111011, 1.543890, 2619
209, 3.500000, 1.96119, 101000110101, 1.538810, 2613
210, 3.500000, 1.96627, 101000101111, 1.533730, 2607
211, 3.500000, 1.97135, 101000101001, 1.528650, 2601
212, 3.500000, 1.97643, 101000100011, 1.523570, 2595
213, 3.500000, 1.9815, 101000011110, 1.518500, 2590
214, 3.500000, 1.98658, 101000011000, 1.513420, 2584
215, 3.500000, 1.99166, 101000010010, 1.508340, 2578
216, 3.500000, 1.99674, 101000001100, 1.503260, 2572
217, 3.500000, 2.00182, 101000000110, 1.498180, 2566
218, 3.500000, 2.0069, 100101100110, 1.493100, 2406
219, 3.500000, 2.01197, 100101100000, 1.488030, 2400
220, 3.500000, 2.01705, 100101011011, 1.482950, 2395
221, 3.500000, 2.02213, 100101010101, 1.477870, 2389
222, 3.500000, 2.02721, 100101001111, 1.472790, 2383
223, 3.500000, 2.03229, 100101001001, 1.467710, 2377
224, 3.500000, 2.03736, 100101000011, 1.462640, 2371
225, 3.500000, 2.04244, 100100111110, 1.457560, 2366
226, 3.500000, 2.04752, 100100111000, 1.452480, 2360
227, 3.500000, 2.0526, 100100110010, 1.447400, 2354
228, 3.500000, 2.05768, 100100101100, 1.442320, 2348
229, 3.500000, 2.06275, 100100100110, 1.437250, 2342
230, 3.500000, 2.06783, 100100100001, 1.432170, 2337
231, 3.500000, 2.07291, 100100011011, 1.427090, 2331
232, 3.500000, 2.07799, 100100010101, 1.422010, 2325
233, 3.500000, 2.08307, 100100001111, 1.416930, 2319
234, 3.500000, 2.08815, 100100001001, 1.411850, 2313
235, 3.500000, 2.09322, 100100000011, 1.406780, 2307
236, 3.500000, 2.0983, 100011111110, 1.401700, 2302
237, 3.500000, 2.10338, 100011111000, 1.396620, 2296
238, 3.500000, 2.10846, 100011110010, 1.391540, 2290
239, 3.500000, 2.11354, 100011101100, 1.386460, 2284
240, 3.500000, 2.11861, 100011100110, 1.381390, 2278
241, 3.500000, 2.12369, 100011100001, 1.376310, 2273
242, 3.500000, 2.12877, 100011011011, 1.371230, 2267
243, 3.500000, 2.13385, 100011010101, 1.366150, 2261
244, 3.500000, 2.13893, 100011001111, 1.361070, 2255
245, 3.500000, 2.144, 100011001001, 1.356000, 2249
246, 3.500000, 2.14908, 100011000011, 1.350920, 2243
247, 3.500000, 2.15416, 100010111110, 1.345840, 2238
248, 3.500000, 2.15924, 100010111000, 1.340760, 2232
249, 3.500000, 2.16432, 100010110010, 1.335680, 2226
250, 3.500000, 2.1694, 100010101100, 1.330600, 2220
251, 3.500000, 2.17447, 100010100110, 1.325530, 2214
252, 3.500000, 2.17955, 100010100001, 1.320450, 2209
253, 3.500000, 2.18463, 100010011011, 1.315370, 2203
254, 3.500000, 2.18971, 100010010101, 1.310290, 2197
255, 3.500000, 2.19479, 100010001111, 1.305210, 2191
256, 3.500000, 2.19986, 100010001001, 1.300140, 2185
257, 3.500000, 2.20494, 100010000011, 1.295060, 2179
258, 3.500000, 2.21002, 100001111110, 1.289980, 2174
259, 3.500000, 2.2151, 100001111000, 1.284900, 2168
260, 3.500000, 2.22018, 100001110010, 1.279820, 2162
261, 3.500000, 2.22525, 100001101100, 1.274750, 2156
262, 3.500000, 2.23033, 100001100110, 1.269670, 2150
263, 3.500000, 2.23541, 100001100001, 1.264590, 2145
264, 3.500000, 2.24049, 100001011011, 1.259510, 2139
265, 3.500000, 2.24557, 100001010101, 1.254430, 2133
266, 3.500000, 2.25065, 100001001111, 1.249350, 2127
267, 3.500000, 2.25572, 100001001001, 1.244280, 2121
268, 3.500000, 2.2608, 100001000100, 1.239200, 2116
269, 3.500000, 2.26588, 100000111110, 1.234120, 2110
270, 3.500000, 2.27096, 100000111000, 1.229040, 2104
271, 3.500000, 2.27604, 100000110010, 1.223960, 2098
272, 3.500000, 2.28111, 100000101101, 1.218890, 2093
273, 3.500000, 2.28619, 100000100111, 1.213810, 2087
274, 3.500000, 2.29127, 100000100001, 1.208730, 2081
275, 3.500000, 2.29635, 100000011011, 1.203650, 2075
276, 3.500000, 2.30143, 100000010101, 1.198570, 2069
277, 3.500000, 2.3065, 100000010000, 1.193500, 2064
278, 3.500000, 2.31158, 100000001010, 1.188420, 2058
279, 3.500000, 2.31666, 100000000100, 1.183340, 2052
280, 3.500000, 2.32174, 011101100011, 1.178260, 1891
281, 3.500000, 2.32682, 011101011110, 1.173180, 1886
282, 3.500000, 2.3319, 011101011000, 1.168100, 1880
283, 3.500000, 2.33697, 011101010010, 1.163030, 1874
284, 3.500000, 2.34205, 011101001100, 1.157950, 1868
285, 3.500000, 2.34713, 011101000110, 1.152870, 1862
286, 3.500000, 2.35221, 011101000001, 1.147790, 1857
287, 3.500000, 2.35729, 011100111011, 1.142710, 1851
288, 3.500000, 2.36236, 011100110101, 1.137640, 1845
289, 3.500000, 2.36744, 011100101111, 1.132560, 1839
290, 3.500000, 2.37252, 011100101001, 1.127480, 1833
291, 3.500000, 2.3776, 011100100011, 1.122400, 1827
292, 3.500000, 2.38268, 011100011110, 1.117320, 1822
293, 3.500000, 2.38775, 011100011000, 1.112250, 1816
294, 3.500000, 2.39283, 011100010010, 1.107170, 1810
295, 3.500000, 2.39791, 011100001100, 1.102090, 1804
296, 3.500000, 2.40299, 011100000110, 1.097010, 1798
297, 3.500000, 2.40807, 011100000001, 1.091930, 1793
298, 3.500000, 2.41315, 011011111011, 1.086850, 1787
299, 3.500000, 2.41822, 011011110101, 1.081780, 1781
300, 3.500000, 2.4233, 011011101111, 1.076700, 1775
301, 3.500000, 2.42838, 011011101001, 1.071620, 1769
302, 3.500000, 2.43346, 011011100011, 1.066540, 1763
303, 3.500000, 2.43854, 011011011110, 1.061460, 1758
304, 3.500000, 2.44361, 011011011000, 1.056390, 1752
305, 3.500000, 2.44869, 011011010010, 1.051310, 1746
306, 3.500000, 2.45377, 011011001100, 1.046230, 1740
307, 3.500000, 2.45885, 011011000110, 1.041150, 1734
308, 3.500000, 2.46393, 011011000001, 1.036070, 1729
309, 3.500000, 2.469, 011010111011, 1.031000, 1723
310, 3.500000, 2.47408, 011010110101, 1.025920, 1717
311, 3.500000, 2.47916, 011010101111, 1.020840, 1711
312, 3.500000, 2.48424, 011010101001, 1.015760, 1705
313, 3.500000, 2.48932, 011010100011, 1.010680, 1699
314, 3.500000, 2.4944, 011010011110, 1.005600, 1694
315, 3.500000, 2.49947, 011010011000, 1.000530, 1688
316, 3.500000, 2.50455, 011010010010, 0.995450, 1682
317, 3.500000, 2.50963, 011010001100, 0.990370, 1676
318, 3.500000, 2.51471, 011010000110, 0.985290, 1670
319, 3.500000, 2.51979, 011010000001, 0.980210, 1665
320, 3.500000, 2.52486, 011001111011, 0.975140, 1659
321, 3.500000, 2.52994, 011001110101, 0.970060, 1653
322, 3.500000, 2.53502, 011001101111, 0.964980, 1647
323, 3.500000, 2.5401, 011001101001, 0.959900, 1641
324, 3.500000, 2.54518, 011001100011, 0.954820, 1635
325, 3.500000, 2.55025, 011001011110, 0.949750, 1630
326, 3.500000, 2.55533, 011001011000, 0.944670, 1624
327, 3.500000, 2.56041, 011001010010, 0.939590, 1618
328, 3.500000, 2.56549, 011001001100, 0.934510, 1612
329, 3.500000, 2.57057, 011001000110, 0.929430, 1606
330, 3.500000, 2.57565, 011001000001, 0.924350, 1601
331, 3.500000, 2.58072, 011000111011, 0.919280, 1595
332, 3.500000, 2.5858, 011000110101, 0.914200, 1589
333, 3.500000, 2.59088, 011000110000, 0.909120, 1584
334, 3.500000, 2.59596, 011000101010, 0.904040, 1578
335, 3.500000, 2.60104, 011000100100, 0.898960, 1572
336, 3.500000, 2.60611, 011000011110, 0.893890, 1566
337, 3.500000, 2.61119, 011000011000, 0.888810, 1560
338, 3.500000, 2.61627, 011000010010, 0.883730, 1554
339, 3.500000, 2.62135, 011000001101, 0.878650, 1549
340, 3.500000, 2.62643, 011000000111, 0.873570, 1543
341, 3.500000, 2.6315, 010101100111, 0.868500, 1383
342, 3.500000, 2.63658, 010101100001, 0.863420, 1377
343, 3.500000, 2.64166, 010101011011, 0.858340, 1371
344, 3.500000, 2.64674, 010101010101, 0.853260, 1365
345, 3.500000, 2.65182, 010101001111, 0.848180, 1359
346, 3.500000, 2.6569, 010101001010, 0.843100, 1354
347, 3.500000, 2.66197, 010101000100, 0.838030, 1348
348, 3.500000, 2.66705, 010100111110, 0.832950, 1342
349, 3.500000, 2.67213, 010100111000, 0.827870, 1336
350, 3.500000, 2.67721, 010100110010, 0.822790, 1330
351, 3.500000, 2.68229, 010100101101, 0.817710, 1325
352, 3.500000, 2.68736, 010100100111, 0.812640, 1319
353, 3.500000, 2.69244, 010100100001, 0.807560, 1313
354, 3.500000, 2.69752, 010100011011, 0.802480, 1307
355, 3.500000, 2.7026, 010100010101, 0.797400, 1301
356, 3.500000, 2.70768, 010100010000, 0.792320, 1296
357, 3.500000, 2.71275, 010100001010, 0.787250, 1290
358, 3.500000, 2.71783, 010100000100, 0.782170, 1284
359, 3.500000, 2.72291, 010011111110, 0.777090, 1278
360, 3.500000, 2.72799, 010011111000, 0.772010, 1272
361, 3.500000, 2.73307, 010011110010, 0.766930, 1266
362, 3.500000, 2.73815, 010011101101, 0.761850, 1261
363, 3.500000, 2.74322, 010011100111, 0.756780, 1255
364, 3.500000, 2.7483, 010011100001, 0.751700, 1249
365, 3.500000, 2.75338, 010011011011, 0.746620, 1243
366, 3.500000, 2.75846, 010011010101, 0.741540, 1237
367, 3.500000, 2.76354, 010011010000, 0.736460, 1232
368, 3.500000, 2.76861, 010011001010, 0.731390, 1226
