sample number, VIN1+(V), VIN1-(V)
sample number, VIN1+(V), VIN1-(V)
292, 3.500000,  2.38268 
293, 3.500000,  2.38775 
294, 3.500000,  2.39283 
295, 3.500000,  2.39791 
296, 3.500000,  2.40299 
297, 3.500000,  2.40807 
298, 3.500000,  2.41315 
299, 3.500000,  2.41822 
300, 3.500000,  2.4233 
301, 3.500000,  2.42838 
302, 3.500000,  2.43346 
303, 3.500000,  2.43854 
304, 3.500000,  2.44361 
305, 3.500000,  2.44869 
306, 3.500000,  2.45377 
307, 3.500000,  2.45885 
308, 3.500000,  2.46393 
309, 3.500000,  2.469 
310, 3.500000,  2.47408 
311, 3.500000,  2.47916 
312, 3.500000,  2.48424 
313, 3.500000,  2.48932 
314, 3.500000,  2.4944 
315, 3.500000,  2.49947 
316, 3.500000,  2.50455 
317, 3.500000,  2.50963 
318, 3.500000,  2.51471 
319, 3.500000,  2.51979 
320, 3.500000,  2.52486 
321, 3.500000,  2.52994 
322, 3.500000,  2.53502 
323, 3.500000,  2.5401 
324, 3.500000,  2.54518 
325, 3.500000,  2.55025 
326, 3.500000,  2.55533 
327, 3.500000,  2.56041 
328, 3.500000,  2.56549 
329, 3.500000,  2.57057 
330, 3.500000,  2.57565 
331, 3.500000,  2.58072 
332, 3.500000,  2.5858 
333, 3.500000,  2.59088 
334, 3.500000,  2.59596 
335, 3.500000,  2.60104 
336, 3.500000,  2.60611 
337, 3.500000,  2.61119 
338, 3.500000,  2.61627 
339, 3.500000,  2.62135 
340, 3.500000,  2.62643 
341, 3.500000,  2.6315 
342, 3.500000,  2.63658 
343, 3.500000,  2.64166 
344, 3.500000,  2.64674 
345, 3.500000,  2.65182 
346, 3.500000,  2.6569 
347, 3.500000,  2.66197 
348, 3.500000,  2.66705 
349, 3.500000,  2.67213 
350, 3.500000,  2.67721 
351, 3.500000,  2.68229 
352, 3.500000,  2.68736 
353, 3.500000,  2.69244 
354, 3.500000,  2.69752 
355, 3.500000,  2.7026 
356, 3.500000,  2.70768 
357, 3.500000,  2.71275 
358, 3.500000,  2.71783 
359, 3.500000,  2.72291 
360, 3.500000,  2.72799 
361, 3.500000,  2.73307 
362, 3.500000,  2.73815 
363, 3.500000,  2.74322 
364, 3.500000,  2.7483 
365, 3.500000,  2.75338 
366, 3.500000,  2.75846 
367, 3.500000,  2.76354 
368, 3.500000,  2.76861 
369, 3.500000,  2.77369 
370, 3.500000,  2.77877 
371, 3.500000,  2.78385 
372, 3.500000,  2.78893 
373, 3.500000,  2.794 
374, 3.500000,  2.79908 
375, 3.500000,  2.80416 
376, 3.500000,  2.80924 
377, 3.500000,  2.81432 
378, 3.500000,  2.8194 
379, 3.500000,  2.82447 
380, 3.500000,  2.82955 
381, 3.500000,  2.83463 
382, 3.500000,  2.83971 
383, 3.500000,  2.84479 
384, 3.500000,  2.84986 
385, 3.500000,  2.85494 
386, 3.500000,  2.86002 
387, 3.500000,  2.8651 
388, 3.500000,  2.87018 
389, 3.500000,  2.87525 
390, 3.500000,  2.88033 
391, 3.500000,  2.88541 
392, 3.500000,  2.89049 
393, 3.500000,  2.89557 
394, 3.500000,  2.90065 
395, 3.500000,  2.90572 
396, 3.500000,  2.9108 
397, 3.500000,  2.91588 
398, 3.500000,  2.92096 
399, 3.500000,  2.92604 
400, 3.500000,  2.93111 
401, 3.500000,  2.93619 
402, 3.500000,  2.94127 
403, 3.500000,  2.94635 
404, 3.500000,  2.95143 
405, 3.500000,  2.9565 
406, 3.500000,  2.96158 
407, 3.500000,  2.96666 
408, 3.500000,  2.97174 
409, 3.500000,  2.97682 
410, 3.500000,  2.9819 
411, 3.500000,  2.98697 
412, 3.500000,  2.99205 
413, 3.500000,  2.99713 
414, 3.500000,  3.00221 
415, 3.500000,  3.00729 
416, 3.500000,  3.01236 
417, 3.500000,  3.01744 
418, 3.500000,  3.02252 
419, 3.500000,  3.0276 
420, 3.500000,  3.03268 
421, 3.500000,  3.03775 
422, 3.500000,  3.04283 
423, 3.500000,  3.04791 
424, 3.500000,  3.05299 
425, 3.500000,  3.05807 
426, 3.500000,  3.06315 
427, 3.500000,  3.06822 
428, 3.500000,  3.0733 
429, 3.500000,  3.07838 
430, 3.500000,  3.08346 
431, 3.500000,  3.08854 
432, 3.500000,  3.09361 
433, 3.500000,  3.09869 
434, 3.500000,  3.10377 
435, 3.500000,  3.10885 
436, 3.500000,  3.11393 
437, 3.500000,  3.119 
438, 3.500000,  3.12408 
439, 3.500000,  3.12916 
440, 3.500000,  3.13424 
441, 3.500000,  3.13932 
442, 3.500000,  3.1444 
443, 3.500000,  3.14947 
444, 3.500000,  3.15455 
445, 3.500000,  3.15963 
446, 3.500000,  3.16471 
447, 3.500000,  3.16979 
448, 3.500000,  3.17486 
449, 3.500000,  3.17994 
450, 3.500000,  3.18502 
451, 3.500000,  3.1901 
452, 3.500000,  3.19518 
453, 3.500000,  3.20025 
454, 3.500000,  3.20533 
455, 3.500000,  3.21041 
456, 3.500000,  3.21549 
457, 3.500000,  3.22057 
458, 3.500000,  3.22565 
459, 3.500000,  3.23072 
460, 3.500000,  3.2358 
461, 3.500000,  3.24088 
462, 3.500000,  3.24596 
463, 3.500000,  3.25104 
464, 3.500000,  3.25611 
465, 3.500000,  3.26119 
466, 3.500000,  3.26627 
467, 3.500000,  3.27135 
468, 3.500000,  3.27643 
469, 3.500000,  3.2815 
470, 3.500000,  3.28658 
471, 3.500000,  3.29166 
472, 3.500000,  3.29674 
473, 3.500000,  3.30182 
474, 3.500000,  3.3069 
475, 3.500000,  3.31197 
476, 3.500000,  3.31705 
477, 3.500000,  3.32213 
478, 3.500000,  3.32721 
479, 3.500000,  3.33229 
480, 3.500000,  3.33736 
481, 3.500000,  3.34244 
482, 3.500000,  3.34752 
483, 3.500000,  3.3526 
484, 3.500000,  3.35768 
485, 3.500000,  3.36275 
486, 3.500000,  3.36783 
487, 3.500000,  3.37291 
488, 3.500000,  3.37799 
489, 3.500000,  3.38307 
490, 3.500000,  3.38815 
491, 3.500000,  3.39322 
492, 3.500000,  3.3983 
493, 3.500000,  3.40338 
494, 3.500000,  3.40846 
